Time,User,Chat
11:02:28,미로ㅋ,마이크 엄청작아
11:02:28,sexkingralo2,저 배고파요
11:02:29,쌀민서,ㅠㅠ
11:02:29,scorpion7715,파카님 그래서 유튜브 10만구독자 이벤트 뭐 준비하셨어요?(기대중)
11:02:29,yong10215,귀여운 다람쥐❤
11:02:30,랄팤슥,그럼 너가 노래 저작권 사줘!
11:02:31,싹둑,커서랄로가될래요 -> 특수문자 도배에 주의해주세요. [경고]
11:02:31,과자_단맛짠맛,목소리작아요ㅜㅠ
11:02:31,우락끼,팤하
11:02:32,제노제이,후두암 재발?
11:02:33,맨소래담,"선생님 목소리가 작아서, 소리를 올리면 노래가 크고..."
11:02:33,파카가돈절래를그린데이,목소리너무작아
11:02:33,hanamother,파가가는 애기야
11:02:33,sdgee,!업타임
11:02:34,싹둑,방송 업타임: 0 시간 06 분 39 초
11:02:34,이러케저러쿵,ㅈㄷㄹㅇ
11:02:36,망고주스맛,인간다람쥐 소니눅!!!
11:02:36,권깨비,엥 노래틀면 안된다면서요 팤선생님
11:02:36,쭈녁이,파카 어서오고
11:02:37,이건귀하네요,마스터 가부자 가부자
11:02:37,과자_단맛짠맛,ㅈㄷㄹㅇ
11:02:38,kdw5882213,굳
11:02:38,미로ㅋ,ㅠ
11:02:39,봄가을겨울,마저 뭐들어!
11:02:40,윈터썬,지금 일어남?
11:02:40,파카1111,목소리 너무 자가요 ㅠㅠ
11:02:41,0112hong,노래는크고 마이크는작아요
11:02:41,munjaang22,파카 이 10련 보고싶을때 딱 와주는거 뭐냐고!
11:02:41,PerryDak,역시 시간 약속을 잘 지키시네요
11:02:42,커서랄로가될래요,손인욱 사랑해!
11:02:43,westlife3645,그건 맞죠
11:02:44,yong10215,!티어
11:02:46,ai1ll,손인욱 목소리 들어
11:02:46,누군가조종하는벌목기,이승기의 음악시간 듣죠
11:02:46,랄카,클래식들어요
11:02:47,insengmangham,목소리 이제 맞네
11:02:48,aaxcinx77,파카님 유튜브 구독자 10만명 축하드립니다 !
11:02:49,beeswalker,왜이제와 왜이제와 왜이제와
11:02:49,RajuRastogi,클래식은 못듣나요
11:02:49,threekeatons,사줘!
11:02:49,커서랄로가될래요,노래가 너무 커요
11:02:50,하이트아라이,j-pop이요
11:02:50,인육먹는손인육,ㅎㅇ
11:02:50,devkwa,도네 소리 듣죠 ㅇㅇ
11:02:51,미로ㅋ,가수가 허락하면 들어도되나 ?
11:02:51,파카츄99,돈모아서 몇곡 살까요??
11:02:51,didtmdcks062,[팤플레이어] 현재 재생곡 // Broox xiao - Fire // No Copyright S
11:02:51,종우는집가서빨래나해,작곡하죠 ㅇㅇ;
11:02:54,whakffhd,ncs 말고 bts 듣죠
11:02:54,HnA2317,처음 나온 노래 제목 뭔가요
11:02:54,갈치갈치,ㅋㅋㅋ
11:02:55,지이이씨,j pop이요ㅋㅋ
11:02:56,루동,애국가 듣죠
11:02:56,lol_fan,ㅠㅠ
11:02:58,hee95294,ㄹㅇㅋㅋ
11:02:58,너구리개다람쥐오징어새,선생님은 지금이 8:00 AM 인가요
11:02:58,soninuki7,2승기 ㄷㄷ
11:02:59,NEVE_010n,ㄹㅇ
11:02:59,hanamother,손인욱식 압축클래식 듣죠
11:02:59,지밀,인욱이 노래 부르는거
11:03:00,자다가봉상뚜드리는소리,이재석플레이리스트도 못듣나요??
11:03:00,호날두와일본여행간김찬호,왜~
11:03:02,scorpion7715,파카님 그래서 유튜브 10만구독자 이벤트 뭐 준비하셨어요?
11:03:02,uhdoh93,ㅋㅋㅋㅋ
11:03:04,se0kh0,파카를 지금 봐서 반가울지도..?
11:03:04,나작석,오빠랑 사귀려면 ㅓㅇ떻게 해야하나요
11:03:05,커서랄로가될래요,노래 너무 커요
11:03:06,운새미로,뭐냐고!!!!!뭐냐고!!!!!뭐냐고!!!!!
11:03:07,슝슝슝123,노래 불러주세요
11:03:08,guenddse,원작자한테 허락 구하죠
11:03:08,hee95294,좀 그렇네 저작권
11:03:10,devkwa,전자계집이 돈 읽어주는 소리 듣죠 ㅇㅇ
11:03:11,아캅스9999,팤국가 틀까요? 지분 1프로는 잇는거 같은데
11:03:11,파카1111,구독자 10만 이벤트!!!!
11:03:11,파카츄99,돈모아서 몇곡 살까요선생님??
11:03:11,철수영희그리고형섭,선생님 번데기탕 시켰어요~~
11:03:11,손인욱너무귀여워요,믿고 있었다구
11:03:12,떡만123,8시인데
11:03:12,joonhwan558,컴퓨터 바꿈?
11:03:12,insengmangham,넷카마들 죽이고 싶네
11:03:12,김치전굽는사람,그럼 메모장에 적어주세요 저희가 알아서 들을게요
11:03:14,나으루우,팤하ㅏㅏㅏㅏㅏㅏㅏ
11:03:17,tjsry06009,선생님 군가는 저작권이 없다는거 아시나요
11:03:17,dlwjdruf12,...?
11:03:21,Hikipain,APEX는 구하셨나요?
11:03:21,손인욱너무귀여워요,후 후
11:03:22,리버스,손인욱... 사랑한다..!
11:03:24,망고주스맛,닉부터 바꿔오세요
11:03:24,손인욱너무귀여워요,쯥
11:03:24,최강무적어썸동현,!업타임
11:03:25,싹둑,방송 업타임: 0 시간 07 분 30 초
11:03:26,dlwjdruf12,머선129
11:03:28,자다가봉상뚜드리는소리,전선을간다 틀어주세요
11:03:29,갈치갈치,ㅋㅋㅋㅋㅋㅋㅋㅋ
11:03:30,hee95294,ㄸㄱㄹㅇ
